79.090	30.298	-1.974	-5.707	1.290	1.120	0.000	3	1	GHOL
79.194	30.329	-4.152	-5.015	1.160	1.100	0.000	3	1	POKH
79.493	30.743	-7.394	-13.533	1.260	1.110	0.000	3	1	BADR
80.240	30.060	-2.625	-11.573	2.350	2.310	0.000	3	1	MUNS
80.943	26.891	0.799	-2.984	1.040	1.010	0.000	1	1	LUCK
88.569	27.365	2.170	-7.927	2.410	2.310	0.000	5	1	GBSK
89.392	26.849	4.184	-6.281	1.560	1.480	0.000	5	1	RBIT
92.439	28.432	3.656	-23.016	2.130	1.860	0.000	5	1	LOZ1
80.148	28.963	0.236	-1.100	0.900	0.800	0.000	3	1	MAH0
80.602	29.334	-0.363	-3.602	0.900	0.800	0.000	3	1	DAD2
80.636	29.012	0.417	1.298	0.900	0.900	0.000	3	1	SHP0
80.721	29.527	-0.731	-4.800	0.900	0.800	0.000	3	1	SHB0
81.116	28.613	2.648	-0.993	1.500	1.500	0.000	3	1	LMK1
81.353	28.824	0.051	1.612	0.900	0.900	0.000	3	1	GUT0
81.575	28.134	0.854	1.608	0.900	0.900	0.000	1	1	NPJ0
81.634	28.583	-2.406	-1.690	0.900	0.900	0.000	3	1	SKA0
81.635	28.586	-0.606	-2.190	0.900	0.900	0.000	3	1	SKT0
81.691	28.407	0.920	0.811	0.900	0.900	0.000	3	1	SPS2
82.095	28.010	-3.127	-1.976	0.900	0.900	0.000	3	1	KUS0
82.247	28.030	-0.962	0.729	0.900	0.900	0.000	3	1	AMP0
82.347	28.249	-0.022	1.432	0.900	0.900	0.000	3	1	MUL0
82.504	27.951	2.042	2.237	1.000	0.900	0.000	3	1	CHP0
82.540	27.786	-1.319	1.640	1.000	0.900	0.000	1	1	BMT0
82.785	27.568	-2.651	1.538	1.000	0.900	0.000	1	1	KRN2
85.008	27.316	-1.119	0.529	1.000	0.900	0.000	4	1	HET0
85.210	29.440	-3.942	-13.258	2.300	1.200	0.000	4	1	WT12
85.222	28.015	1.023	-6.958	1.000	0.900	0.000	4	1	RAM0
85.280	27.693	0.015	-4.853	3.400	1.800	0.000	4	1	AIRP
85.329	28.171	-0.362	-7.050	1.000	1.000	0.000	4	1	SYA0
85.398	27.575	1.051	-0.845	1.000	0.900	0.000	4	1	PKI0
85.794	27.745	-1.809	-3.130	1.000	0.900	0.000	4	1	BAL0
86.020	28.290	-0.416	-11.614	3.600	1.900	0.000	4	1	WT11
86.020	28.300	1.986	-14.214	2.400	1.400	0.000	4	1	WT16
86.230	27.635	-1.257	-8.198	1.100	1.000	0.000	4	1	JIRI
